Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MBps),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
1269674194,28182123,211,,,,,,,,,,262.144,9175.040,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
1297919133,18650462,212,,,,,,,,,,262.144,13893.632,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
1316642331,20176780,213,2,1,1,512,1,1,26,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"saxpy(double *, double *, double *, double, int)"
1336822727,20735398,214,,,,,,,,,,262.144,12582.912,Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy DtoH]
1455316304,29667162,218,,,,,,,,,,262.144,8650.752,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
1485050217,19160025,219,,,,,,,,,,262.144,13631.488,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
1504275585,20230763,220,2,1,1,512,1,1,26,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"saxpy(double *, double *, double *, double, int)"
1524513709,20987714,221,,,,,,,,,,262.144,12320.768,Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy DtoH]
1640654930,40486871,225,,,,,,,,,,262.144,6291.456,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
1681208040,19296535,226,,,,,,,,,,262.144,13369.344,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
1700522271,20183884,227,2,1,1,512,1,1,26,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"saxpy(double *, double *, double *, double, int)"
1720708715,32525207,228,,,,,,,,,,262.144,7864.320,Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy DtoH]
1847771981,28768196,232,,,,,,,,,,262.144,8912.896,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
1876602513,18692606,233,,,,,,,,,,262.144,13893.632,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
1895313743,20044429,234,2,1,1,512,1,1,26,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"saxpy(double *, double *, double *, double, int)"
1915363644,20837829,235,,,,,,,,,,262.144,12320.768,Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy DtoH]
2031044807,28361802,239,,,,,,,,,,262.144,9175.040,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
2059468560,18659103,240,,,,,,,,,,262.144,13893.632,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
2088167830,19198903,241,2,1,1,512,1,1,26,0.000,0.000,,,,,NVIDIA A100-SXM4-40GB (0),1,7,"saxpy(double *, double *, double *, double, int)"
2107368462,20840452,242,,,,,,,,,,262.144,12320.768,Device,Pageable,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy DtoH]
