Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
268413402,457164873,188751471,0,188751471,MPI:MPI_Init,1485274,1485274,0,0,2,,:2,MPI:MPI_Init
601721328,929112950,327391622,0,327391622,MPI:MPI_Recv,1485274,1485274,0,0,4,,:4,MPI:MPI_Recv
929117960,969797041,40679081,0,40679081,MPI:MPI_Recv,1485274,1485274,0,0,5,,:5,MPI:MPI_Recv
1273353787,1273461580,107793,0,107793,saxpy,1485274,1485274,0,0,6,,:6,saxpy
1350438394,1371508232,21069838,0,21069838,MPI:MPI_Send,1485274,1485274,0,0,7,,:7,MPI:MPI_Send
1371510016,1429028652,57518636,0,57518636,MPI:MPI_Recv,1485274,1485274,0,0,8,,:8,MPI:MPI_Recv
1429101089,1440274082,11172993,0,11172993,MPI:MPI_Recv,1485274,1485274,0,0,9,,:9,MPI:MPI_Recv
1479299683,1479384643,84960,0,84960,saxpy,1485274,1485274,0,0,10,,:10,saxpy
1538690683,1557761389,19070706,0,19070706,MPI:MPI_Send,1485274,1485274,0,0,11,,:11,MPI:MPI_Send
1557762831,1614883838,57121007,0,57121007,MPI:MPI_Recv,1485274,1485274,0,0,12,,:12,MPI:MPI_Recv
1614922621,1625547550,10624929,0,10624929,MPI:MPI_Recv,1485274,1485274,0,0,13,,:13,MPI:MPI_Recv
1665165899,1665269685,103786,0,103786,saxpy,1485274,1485274,0,0,14,,:14,saxpy
1747270399,1765629863,18359464,0,18359464,MPI:MPI_Send,1485274,1485274,0,0,15,,:15,MPI:MPI_Send
1765631436,1822047963,56416527,0,56416527,MPI:MPI_Recv,1485274,1485274,0,0,16,,:16,MPI:MPI_Recv
1822051219,1832679284,10628065,0,10628065,MPI:MPI_Recv,1485274,1485274,0,0,17,,:17,MPI:MPI_Recv
1872162288,1872246216,83928,0,83928,saxpy,1485274,1485274,0,0,18,,:18,saxpy
1931719601,1948451254,16731653,0,16731653,MPI:MPI_Send,1485274,1485274,0,0,19,,:19,MPI:MPI_Send
1948452286,2005270140,56817854,0,56817854,MPI:MPI_Recv,1485274,1485274,0,0,20,,:20,MPI:MPI_Recv
2005313472,2015941316,10627844,0,10627844,MPI:MPI_Recv,1485274,1485274,0,0,21,,:21,MPI:MPI_Recv
2054745249,2054806254,61005,0,61005,saxpy,1485274,1485274,0,0,22,,:22,saxpy
2125403610,2140656642,15253032,0,15253032,MPI:MPI_Send,1485274,1485274,0,0,23,,:23,MPI:MPI_Send
2142095317,2307672338,165577021,0,165577021,MPI:MPI_Finalize,1485274,1485274,0,0,24,,:24,MPI:MPI_Finalize
