Start Time (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
969804945,264373619,cudaMalloc,0,207,1485274,1485274,0,MPI Rank 0
1234179996,317309,cudaMalloc,0,208,1485274,1485274,0,MPI Rank 0
1234497826,264088,cudaMalloc,0,209,1485274,1485274,0,MPI Rank 0
1234771202,19698351,cudaMemcpy,0,210,1485274,1485274,0,MPI Rank 0
1254471727,18833328,cudaMemcpy,0,211,1485274,1485274,0,MPI Rank 0
1273396548,62668,cudaLaunchKernel,0,212,1485274,1485274,0,MPI Rank 0
1273462462,61735734,cudaMemcpy,0,213,1485274,1485274,0,MPI Rank 0
1440283580,642102,cudaMalloc,0,214,1485274,1485274,0,MPI Rank 0
1440926624,272694,cudaMalloc,0,215,1485274,1485274,0,MPI Rank 0
1441199939,279007,cudaMalloc,0,216,1485274,1485274,0,MPI Rank 0
1441480259,18939708,cudaMemcpy,0,217,1485274,1485274,0,MPI Rank 0
1460421961,18869006,cudaMemcpy,0,218,1485274,1485274,0,MPI Rank 0
1479324029,59222,cudaLaunchKernel,0,219,1485274,1485274,0,MPI Rank 0
1479385455,44267542,cudaMemcpy,0,220,1485274,1485274,0,MPI Rank 0
1625559242,752009,cudaMalloc,0,221,1485274,1485274,0,MPI Rank 0
1626312123,294967,cudaMalloc,0,222,1485274,1485274,0,MPI Rank 0
1626607901,270941,cudaMalloc,0,223,1485274,1485274,0,MPI Rank 0
1626879944,19066258,cudaMemcpy,0,224,1485274,1485274,0,MPI Rank 0
1645948296,19209728,cudaMemcpy,0,225,1485274,1485274,0,MPI Rank 0
1665193652,74801,cudaLaunchKernel,0,226,1485274,1485274,0,MPI Rank 0
1665270847,66820429,cudaMemcpy,0,227,1485274,1485274,0,MPI Rank 0
1832689984,702235,cudaMalloc,0,228,1485274,1485274,0,MPI Rank 0
1833393001,290278,cudaMalloc,0,229,1485274,1485274,0,MPI Rank 0
1833683990,295197,cudaMalloc,0,230,1485274,1485274,0,MPI Rank 0
1833980289,19285582,cudaMemcpy,0,231,1485274,1485274,0,MPI Rank 0
1853266382,18886889,cudaMemcpy,0,232,1485274,1485274,0,MPI Rank 0
1872186113,58861,cudaLaunchKernel,0,233,1485274,1485274,0,MPI Rank 0
1872253921,44481385,cudaMemcpy,0,234,1485274,1485274,0,MPI Rank 0
2015950674,629348,cudaMalloc,0,235,1485274,1485274,0,MPI Rank 0
2016581064,315214,cudaMalloc,0,236,1485274,1485274,0,MPI Rank 0
2016896769,277634,cudaMalloc,0,237,1485274,1485274,0,MPI Rank 0
2017175445,18794174,cudaMemcpy,0,238,1485274,1485274,0,MPI Rank 0
2035970120,18772153,cudaMemcpy,0,239,1485274,1485274,0,MPI Rank 0
2054756309,49053,cudaLaunchKernel,0,240,1485274,1485274,0,MPI Rank 0
2054806725,55694785,cudaMemcpy,0,241,1485274,1485274,0,MPI Rank 0
2140970765,536201,cudaFree,0,242,1485274,1485274,0,MPI Rank 0
2141507718,282613,cudaFree,0,243,1485274,1485274,0,MPI Rank 0
2141790993,300907,cudaFree,0,244,1485274,1485274,0,MPI Rank 0
